n,gamma,eps,diameter,cover,omega_active,cover_margin,m
2,31.091631,1.0,91.72507195198165,1,0,-1.4210854715202004e-14,4
2,22.27035,1.0,142.63467336079725,1,0,0.0,4
2,31.465727,1.0,50.054916588288336,1,0,-9.237055564881302e-14,4
2,112.84652,1.0,23.64573834032609,1,0,0.0,4
2,32.279533,1.0,51.79310845888262,1,1,0.0,5
2,140.697472,1.0,84.41203549424851,1,0,0.0,4
2,116.332538,1.0,51.80646609454585,1,0,-2.4868995751603507e-14,4
2,51.823554,1.0,60.355555424984416,1,0,-1.1013412404281553e-13,4
2,24.91161,1.0,165.48451841565463,1,1,-4.263256414560601e-14,6
2,49.534107,1.0,55.24092265683226,1,0,-5.684341886080802e-14,4
2,22.214349,1.0,137.6429256942627,1,0,0.0,4
2,103.412621,1.0,55.135726487433246,1,0,0.0,4
2,161.297172,1.0,153.2635523291512,1,0,0.0,4
2,100.617552,1.0,50.673873717204366,1,0,-6.039613253960852e-14,4
2,63.934825,1.0,56.38874059356915,1,0,-1.1368683772161603e-13,4
2,67.377773,1.0,61.218657699879635,1,1,-1.1013412404281553e-13,5
2,37.884665,1.0,74.06745058068516,1,0,0.0,4
2,135.126729,1.0,71.09529373674629,1,0,-5.684341886080802e-14,4
2,15.792938,1.0,182.88593222583873,1,1,0.0,7
2,42.009012,1.0,108.08321203267346,1,0,0.0,4
2,35.555375,1.0,69.9160568595782,1,0,0.0,4
2,34.667731,1.0,90.16797172030945,1,0,0.0,4
2,128.545317,1.0,77.71315218468166,1,0,0.0,4
2,37.270445,1.0,63.034453670973484,1,0,-7.105427357601002e-15,4
2,22.717071,1.0,98.36204974115633,1,1,-9.237055564881302e-14,4
2,26.784626,1.0,66.01571076773996,0,1,-0.44560117935118626,4
2,126.368774,1.0,43.424779851529415,1,0,-3.552713678800501e-15,4
2,120.012929,1.0,41.64977382670047,1,0,-3.552713678800501e-15,4
2,22.249981,1.0,133.26454926813133,1,1,-9.947598300641403e-14,5
2,76.518168,1.0,62.11341216221249,1,0,0.0,4
2,70.045293,1.0,39.56078292708195,1,0,-1.0658141036401503e-13,4
2,165.498718,1.0,189.45641239454736,1,0,0.0,4
2,63.238147,1.0,46.21712200556403,1,0,-3.552713678800501e-15,4
2,157.32591,1.0,184.73106757191596,1,0,0.0,4
2,29.922948,1.0,104.10494130811189,1,0,-8.526512829121202e-14,4
2,86.710942,1.0,36.72903900735017,1,0,-5.684341886080802e-14,4
2,6.894213,1.0,407.60003254446144,1,1,-5.684341886080802e-14,6
2,55.948241,1.0,51.05193003783218,1,0,0.0,4
2,61.185808,1.0,62.34171026585045,1,0,-1.1013412404281553e-13,4
2,127.239519,1.0,22.786364779945206,1,0,-3.907985046680551e-14,4
2,75.710567,1.0,32.79877704517383,1,0,-1.2789769243681803e-13,4
2,84.558548,1.0,54.39356640311696,1,0,0.0,4
2,141.592472,1.0,95.02601950408219,1,0,0.0,4
2,53.755894,1.0,51.243706762195735,1,0,0.0,4
2,59.485713,1.0,54.361055327828666,1,0,-1.0302869668521453e-13,4
2,167.924167,1.0,306.88553060838353,1,0,0.0,4
2,4.218367,1.0,551.4544474730924,1,1,-5.684341886080802e-14,5
2,36.107583,1.0,94.4628542247411,1,1,0.0,6
2,85.358106,1.0,41.9539316057366,1,0,-9.237055564881302e-14,4
2,95.099347,1.0,19.987796480678497,1,0,-2.1316282072803006e-14,4
2,45.020669,1.0,69.02461141650335,1,0,-2.842170943040401e-14,4
2,98.343378,1.0,47.18912951587147,0,1,-0.384233824104502,6
2,85.868352,1.0,51.65598311676443,1,0,0.0,4
2,125.395453,1.0,74.92807491707498,1,0,-1.4210854715202004e-14,4
